ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
M&MFIN,Mahindra & Mahindra Financial Services Ltd,Financial Services,9.07,8.38,23.95,22.61,FY2021-FY2025,2025-12-25
M&M,Mahindra & Mahindra Ltd,Automobile and Auto Components,16.34,16.47,48.13,28.66,FY2021-FY2025,2025-12-25
MANAPPURAM,Manappuram Finance Ltd,Financial Services,18.16,9.59,-6.74,61.16,FY2021-FY2025,2025-12-25
MRPL,Mangalore Refinery And Petrochemicals Ltd,Oil Gas & Consumable Fuels,20.3,24.26,,11.82,FY2021-FY2025,2025-12-25
MANKIND,Mankind Pharma Ltd,Healthcare,23.52,14.46,8.84,51.72,FY2021-FY2025,2025-12-25
MARICO,Marico Ltd,Fast Moving Consumer Goods,39.04,6.12,6.72,55.78,FY2021-FY2025,2025-12-25
MARUTI,Maruti Suzuki India Ltd,Automobile and Auto Components,12.81,16.79,25.99,34.92,FY2021-FY2025,2025-12-25
MFSL,Max Financial Services Ltd,Financial Services,12.15,8.24,-5.12,413.04,FY2021-FY2025,2025-12-25
MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,6.04,20.91,,151.44,FY2021-FY2025,2025-12-25
MAZDOCK,Mazagon Dock Shipbuilders Ltd,Capital Goods,25.56,23.08,36.25,42.13,FY2021-FY2025,2025-12-25
MEESHO,Meesho Ltd,Consumer Services,-582.08,63.93,,,FY2021-FY2025,2025-12-25
MINDACORP,Minda Corporation Ltd,Automobile and Auto Components,13.01,16.38,37.04,49.65,FY2021-FY2025,2025-12-25
MSUMI,Motherson Sumi Wiring India Ltd,Automobile and Auto Components,47.97,18.8,,47.84,FY2021-FY2025,2025-12-25
MOTILALOFS,Motilal Oswal Financial Services Ltd,Financial Services,26.61,18.13,14.2,26.1,FY2021-FY2025,2025-12-25
MPHASIS,Mphasis Ltd,Information Technology,20.01,7.92,6.6,31.07,FY2021-FY2025,2025-12-25
MCX,Multi Commodity Exchange of India Ltd,Financial Services,15.34,23.27,19.99,58.93,FY2021-FY2025,2025-12-25
MUTHOOTFIN,Muthoot Finance Ltd,Financial Services,21.65,11.87,6.97,17.54,FY2021-FY2025,2025-12-25
NATCOPHARM,Natco Pharma Ltd,Healthcare,16.95,16.64,34.2,10.66,FY2021-FY2025,2025-12-25
NBCC,NBCC (India) Ltd,Construction,17.6,11.6,18.95,48.05,FY2021-FY2025,2025-12-25
NCC,NCC Ltd,Construction,9.95,22.8,24.31,13.97,FY2021-FY2025,2025-12-25
NHPC,NHPC Ltd,Power,10.68,1.47,-1.71,24.83,FY2021-FY2025,2025-12-25
NLCINDIA,NLC India Ltd,Power,10.95,9.05,14.82,13.38,FY2021-FY2025,2025-12-25
NMDC,NMDC Ltd,Metals & Mining,27.07,9.24,0.8,10.39,FY2021-FY2025,2025-12-25
NSLNISP,NMDC Steel Ltd,Metals & Mining,-13.09,,,,FY2021-FY2025,2025-12-25
NTPCGREEN,NTPC Green Energy Ltd,Power,5.29,,,148.33,FY2021-FY2025,2025-12-25
NTPC,NTPC Ltd,Power,13.02,11.02,9.87,12.96,FY2021-FY2025,2025-12-25
NH,Narayana Hrudayalaya Ltd,Healthcare,14.29,16.75,,83.15,FY2021-FY2025,2025-12-25
NATIONALUM,National Aluminium Company Ltd,Metals & Mining,19.27,13.39,32.32,8.67,FY2021-FY2025,2025-12-25
NAVA,Nava Ltd,Power,17.3,9.35,23.31,18.14,FY2021-FY2025,2025-12-25
NAVINFLUOR,Navin Fluorine International Ltd,Chemicals,14.81,14.78,2.27,56.19,FY2021-FY2025,2025-12-25
NESTLEIND,Nestle India Ltd,Fast Moving Consumer Goods,88.88,,,73.05,FY2021-FY2025,2025-12-25
NETWEB,Netweb Technologies India Ltd,Information Technology,46.34,51.7,6.79,102.97,FY2021-FY2025,2025-12-25
NEULANDLAB,Neuland Laboratories Ltd,Healthcare,16.29,9.53,26.39,109.78,FY2021-FY2025,2025-12-25
NEWGEN,Newgen Software Technologies Ltd,Information Technology,21.71,17.18,19.78,39.96,FY2021-FY2025,2025-12-25
NAM-INDIA,Nippon Life India Asset Management Ltd,Financial Services,25.62,12.15,12.92,39.64,FY2021-FY2025,2025-12-25
NIVABUPA,Niva Bupa Health Insurance Company Ltd,Financial Services,-6.24,30.63,,,FY2021-FY2025,2025-12-25
NUVAMA,Nuvama Wealth Management Ltd,Financial Services,11.54,19.1,,45.77,FY2021-FY2025,2025-12-25
NUVOCO,Nuvoco Vistas Corporation Ltd,Construction Materials,0.83,8.49,9.43,43.91,FY2021-FY2025,2025-12-25
OBEROIRLTY,Oberoi Realty Ltd,Realty,13.1,20.82,24.66,27.02,FY2021-FY2025,2025-12-25
ONGC,Oil & Natural Gas Corpn Ltd,Oil Gas & Consumable Fuels,14.35,15.03,17.32,7.79,FY2021-FY2025,2025-12-25
OIL,Oil India Ltd,Oil Gas & Consumable Fuels,20.29,12.47,13.17,11.45,FY2021-FY2025,2025-12-25
OLAELEC,Ola Electric Mobility Ltd,Automobile and Auto Components,-3.56,24.57,,,FY2021-FY2025,2025-12-25
OLECTRA,Olectra Greentech Ltd,Automobile and Auto Components,7.43,45.01,76.78,68.75,FY2021-FY2025,2025-12-25
PAYTM,One 97 Communications Ltd,Financial Services,-15.05,15.6,,,FY2021-FY2025,2025-12-25
ONESOURCE,OneSource Specialty Pharma Ltd,Healthcare,-44.87,128.22,,113.89,FY2021-FY2025,2025-12-25
